iter	Passed	Remaining
0	173	173471
1	188	94001
2	199	66238
3	209	52247
4	218	43479
5	229	38096
6	241	34276
7	253	31464
8	265	29273
9	274	27213
10	284	25613
11	294	24244
12	302	22965
13	310	21886
14	315	20704
15	321	19793
16	328	19011
17	334	18222
18	337	17441
19	344	16857
20	349	16293
21	353	15714
22	357	15174
23	363	14768
24	369	14413
25	375	14084
26	382	13793
27	387	13438
28	392	13154
29	398	12896
30	405	12671
31	409	12384
32	415	12188
33	422	12008
34	429	11828
35	435	11653
36	439	11448
37	445	11273
38	449	11074
39	454	10897
40	457	10710
41	464	10590
42	470	10470
43	475	10327
44	481	10222
45	485	10072
46	492	9982
47	499	9898
48	502	9757
49	506	9622
50	512	9536
51	516	9417
52	522	9343
53	526	9221
54	530	9108
55	535	9019
56	538	8915
57	543	8829
58	548	8742
59	552	8655
60	555	8551
61	558	8446
62	562	8372
63	566	8285
64	569	8192
65	574	8125
66	578	8061
67	583	7992
68	588	7938
69	592	7877
70	597	7813
71	601	7748
72	604	7679
73	608	7613
74	610	7526
75	613	7452
76	616	7390
77	619	7317
78	622	7254
79	625	7196
80	629	7137
81	632	7083
82	636	7029
83	639	6975
84	643	6924
85	646	6873
86	650	6825
87	653	6775
88	657	6728
89	661	6685
90	663	6628
91	667	6587
92	670	6536
93	674	6496
94	677	6456
95	681	6419
96	685	6380
97	689	6350
98	692	6305
99	696	6270
100	700	6236
101	704	6200
102	707	6163
103	709	6115
104	711	6064
105	715	6031
106	718	5997
107	721	5962
108	725	5928
109	728	5895
110	732	5863
111	736	5839
112	738	5795
113	741	5764
114	745	5736
115	749	5708
116	752	5680
117	755	5650
118	759	5621
119	763	5595
120	765	5557
121	768	5532
122	772	5504
123	775	5478
124	779	5453
125	783	5434
126	787	5410
127	788	5373
128	790	5337
129	794	5314
130	797	5291
131	801	5267
132	804	5243
133	807	5219
134	811	5197
135	814	5177
136	818	5153
137	819	5122
138	821	5090
139	824	5065
140	828	5045
141	831	5025
142	833	4997
143	837	4976
144	840	4953
145	843	4934
146	846	4914
147	850	4894
148	853	4875
149	857	4859
150	861	4841
151	864	4822
152	866	4796
153	868	4770
154	871	4750
155	874	4733
156	878	4717
157	881	4695
158	884	4679
159	889	4667
160	893	4654
161	896	4639
162	905	4649
163	909	4636
164	913	4624
165	916	4604
166	919	4585
167	923	4572
168	927	4560
169	931	4547
170	935	4533
171	937	4514
172	941	4502
173	945	4490
174	949	4476
175	953	4465
176	957	4453
177	961	4441
178	964	4421
179	968	4410
180	972	4400
181	976	4387
182	979	4374
183	983	4363
184	987	4352
185	991	4340
186	995	4327
187	997	4308
188	1001	4298
189	1005	4286
190	1009	4275
191	1013	4264
192	1015	4245
193	1019	4235
194	1023	4223
195	1025	4208
196	1029	4196
197	1033	4187
198	1037	4176
199	1041	4165
200	1045	4154
201	1048	4141
202	1050	4122
203	1052	4107
204	1056	4097
205	1061	4091
206	1065	4080
207	1067	4066
208	1070	4051
209	1075	4044
210	1079	4036
211	1083	4027
212	1085	4012
213	1089	4001
214	1093	3991
215	1096	3981
216	1100	3969
217	1103	3958
218	1106	3947
219	1109	3932
220	1112	3923
221	1116	3913
222	1120	3903
223	1124	3894
224	1128	3886
225	1131	3875
226	1134	3864
227	1136	3849
228	1140	3839
229	1144	3831
230	1146	3816
231	1149	3805
232	1153	3795
233	1156	3785
234	1160	3777
235	1163	3767
236	1167	3757
237	1169	3743
238	1172	3733
239	1176	3726
240	1180	3717
241	1183	3707
242	1187	3697
243	1190	3689
244	1194	3680
245	1197	3671
246	1199	3657
247	1203	3647
248	1206	3640
249	1209	3627
250	1212	3618
251	1214	3605
252	1217	3593
253	1220	3584
254	1223	3573
255	1226	3564
256	1230	3556
257	1233	3547
258	1236	3538
259	1240	3530
260	1242	3518
261	1246	3509
262	1249	3501
263	1253	3493
264	1256	3486
265	1260	3479
266	1264	3472
267	1267	3461
268	1271	3455
269	1275	3449
270	1279	3441
271	1282	3433
272	1287	3427
273	1289	3417
274	1293	3409
275	1296	3400
276	1299	3392
277	1303	3386
278	1307	3379
279	1309	3367
280	1311	3355
281	1314	3347
282	1317	3338
283	1321	3330
284	1323	3320
285	1327	3313
286	1330	3306
287	1334	3300
288	1338	3291
289	1339	3280
290	1341	3269
291	1345	3262
292	1347	3251
293	1351	3246
294	1354	3235
295	1357	3227
296	1359	3217
297	1362	3209
298	1366	3203
299	1369	3196
300	1373	3190
301	1376	3181
302	1379	3172
303	1381	3162
304	1384	3155
305	1389	3150
306	1393	3144
307	1397	3138
308	1400	3132
309	1404	3126
310	1407	3117
311	1410	3111
312	1413	3101
313	1416	3095
314	1420	3089
315	1423	3080
316	1424	3070
317	1428	3064
318	1432	3057
319	1434	3047
320	1438	3041
321	1441	3034
322	1443	3025
323	1447	3019
324	1450	3013
325	1454	3007
326	1457	3000
327	1462	2995
328	1465	2989
329	1468	2980
330	1471	2974
331	1475	2968
332	1479	2962
333	1483	2957
334	1486	2950
335	1489	2944
336	1492	2937
337	1496	2931
338	1500	2925
339	1503	2919
340	1507	2914
341	1511	2908
342	1513	2899
343	1515	2889
344	1518	2883
345	1522	2878
346	1526	2872
347	1529	2866
348	1533	2860
349	1537	2854
350	1541	2850
351	1546	2846
352	1548	2838
353	1552	2833
354	1563	2841
355	1568	2837
356	1573	2834
357	1578	2830
358	1581	2822
359	1584	2817
360	1588	2812
361	1592	2806
362	1596	2800
363	1599	2795
364	1603	2790
365	1607	2784
366	1610	2776
367	1613	2771
368	1615	2762
369	1618	2756
370	1622	2750
371	1626	2745
372	1629	2739
373	1631	2731
374	1636	2726
375	1639	2721
376	1642	2714
377	1644	2706
378	1648	2700
379	1652	2696
380	1656	2690
381	1660	2686
382	1663	2680
383	1667	2675
384	1671	2670
385	1675	2665
386	1679	2659
387	1682	2654
388	1686	2648
389	1690	2643
390	1693	2638
391	1697	2632
392	1701	2627
393	1704	2621
394	1708	2617
395	1710	2609
396	1714	2604
397	1718	2599
398	1720	2591
399	1724	2586
400	1727	2580
401	1731	2575
402	1735	2570
403	1739	2565
404	1743	2560
405	1745	2553
406	1748	2547
407	1750	2540
408	1755	2536
409	1758	2530
410	1762	2525
411	1766	2520
412	1768	2513
413	1772	2508
414	1775	2502
415	1777	2495
416	1781	2491
417	1785	2486
418	1787	2478
419	1790	2472
420	1792	2464
421	1796	2460
422	1799	2454
423	1802	2449
424	1804	2441
425	1807	2435
426	1809	2428
427	1813	2423
428	1816	2418
429	1820	2412
430	1823	2407
431	1827	2402
432	1829	2395
433	1833	2390
434	1836	2385
435	1840	2380
436	1843	2375
437	1845	2367
438	1848	2362
439	1851	2356
440	1855	2351
441	1858	2346
442	1862	2341
443	1865	2336
444	1869	2331
445	1871	2324
446	1874	2319
447	1878	2314
448	1880	2307
449	1884	2302
450	1887	2297
451	1891	2293
452	1894	2287
453	1898	2283
454	1901	2278
455	1905	2273
456	1908	2268
457	1912	2263
458	1915	2258
459	1919	2253
460	1923	2248
461	1926	2243
462	1930	2238
463	1933	2233
464	1936	2228
465	1940	2223
466	1944	2219
467	1948	2214
468	1951	2209
469	1955	2205
470	1958	2200
471	1962	2195
472	1965	2190
473	1969	2185
474	1972	2180
475	1975	2174
476	1978	2169
477	1982	2164
478	1985	2159
479	1989	2154
480	1993	2150
481	1996	2145
482	2000	2140
483	2004	2136
484	2007	2132
485	2011	2127
486	2014	2122
487	2019	2118
488	2022	2113
489	2026	2109
490	2029	2104
491	2033	2100
492	2038	2096
493	2041	2091
494	2045	2086
495	2049	2082
496	2052	2077
497	2056	2073
498	2060	2068
499	2063	2063
500	2067	2059
501	2069	2053
502	2073	2048
503	2077	2044
504	2081	2040
505	2085	2035
506	2088	2031
507	2092	2026
508	2096	2022
509	2100	2017
510	2103	2013
511	2107	2008
512	2110	2003
513	2115	1999
514	2118	1995
515	2122	1990
516	2126	1986
517	2129	1981
518	2133	1976
519	2136	1972
520	2140	1967
521	2143	1962
522	2147	1958
523	2150	1953
524	2154	1948
525	2157	1943
526	2160	1939
527	2164	1935
528	2167	1930
529	2171	1925
530	2174	1921
531	2178	1916
532	2182	1911
533	2186	1907
534	2189	1903
535	2193	1898
536	2196	1893
537	2200	1889
538	2203	1884
539	2206	1879
540	2210	1875
541	2214	1870
542	2217	1866
543	2221	1861
544	2225	1857
545	2229	1853
546	2232	1848
547	2236	1844
548	2239	1839
549	2243	1835
550	2247	1831
551	2250	1826
552	2253	1821
553	2257	1817
554	2260	1812
555	2264	1808
556	2267	1803
557	2270	1798
558	2275	1794
559	2278	1790
560	2281	1785
561	2285	1780
562	2288	1776
563	2292	1772
564	2296	1767
565	2299	1763
566	2302	1758
567	2307	1754
568	2310	1750
569	2319	1750
570	2323	1745
571	2327	1741
572	2330	1736
573	2333	1731
574	2338	1728
575	2341	1723
576	2344	1719
577	2348	1714
578	2351	1710
579	2355	1705
580	2359	1701
581	2362	1696
582	2366	1692
583	2370	1688
584	2373	1683
585	2376	1679
586	2380	1674
587	2383	1670
588	2387	1666
589	2391	1661
590	2394	1657
591	2398	1652
592	2402	1648
593	2405	1644
594	2408	1639
595	2412	1635
596	2415	1630
597	2419	1626
598	2422	1622
599	2426	1617
600	2429	1613
601	2433	1608
602	2437	1604
603	2440	1600
604	2443	1595
605	2447	1591
606	2451	1587
607	2454	1582
608	2457	1578
609	2461	1573
610	2464	1569
611	2468	1565
612	2471	1560
613	2475	1556
614	2478	1551
615	2482	1547
616	2486	1543
617	2489	1538
618	2492	1534
619	2496	1530
620	2500	1526
621	2503	1521
622	2507	1517
623	2510	1512
624	2514	1508
625	2517	1504
626	2521	1499
627	2524	1495
628	2527	1490
629	2531	1487
630	2535	1482
631	2538	1478
632	2542	1473
633	2546	1469
634	2549	1465
635	2552	1461
636	2556	1456
637	2560	1452
638	2564	1448
639	2567	1444
640	2570	1439
641	2574	1435
642	2578	1431
643	2581	1427
644	2584	1422
645	2588	1418
646	2592	1414
647	2596	1410
648	2599	1405
649	2602	1401
650	2606	1397
651	2610	1393
652	2613	1388
653	2616	1384
654	2620	1380
655	2623	1375
656	2627	1371
657	2630	1367
