iter	Passed	Remaining
0	4	4779
1	9	4635
2	13	4331
3	17	4286
4	20	4086
5	24	4131
6	29	4155
7	33	4110
8	36	4020
9	40	4001
10	45	4056
11	48	4003
12	52	3950
13	55	3913
14	60	4002
15	64	3981
16	68	3962
17	73	4013
18	78	4042
19	82	4018
20	85	3975
21	89	3985
22	93	3980
23	97	3952
24	101	3948
25	105	3957
26	110	3964
27	113	3943
28	115	3882
29	118	3828
30	121	3797
31	124	3762
32	126	3711
33	128	3663
34	131	3614
35	133	3576
36	136	3544
37	139	3527
38	141	3492
39	143	3453
40	146	3415
41	148	3381
42	151	3378
43	154	3367
44	157	3346
45	160	3325
46	162	3297
47	165	3275
48	167	3253
49	182	3475
50	185	3455
51	188	3436
52	190	3408
53	193	3384
54	195	3356
55	197	3331
56	199	3307
57	202	3293
58	205	3274
59	207	3251
60	209	3228
61	211	3198
62	213	3177
63	215	3155
64	218	3147
65	221	3136
66	223	3118
67	226	3099
68	228	3079
69	230	3060
70	232	3041
71	235	3030
72	237	3018
73	239	3001
74	241	2984
75	243	2966
76	245	2947
77	247	2930
78	249	2904
79	251	2896
80	254	2886
81	256	2871
82	258	2856
83	260	2842
84	263	2833
85	265	2818
86	268	2815
87	271	2811
88	273	2801
89	275	2788
90	277	2775
91	279	2762
92	282	2753
93	284	2746
94	287	2735
95	289	2729
96	291	2715
97	293	2705
98	295	2693
99	298	2684
100	301	2687
101	304	2679
102	306	2671
103	308	2661
104	310	2650
105	313	2641
106	315	2636
107	318	2631
108	320	2622
109	323	2613
110	325	2604
111	327	2596
112	329	2589
113	333	2591
114	335	2584
115	338	2576
116	339	2565
117	342	2556
118	344	2548
119	347	2545
120	350	2547
121	352	2539
122	355	2531
123	356	2518
124	358	2512
125	361	2504
126	364	2504
127	367	2502
128	369	2495
129	371	2488
130	374	2481
131	376	2475
132	378	2468
133	381	2467
134	384	2462
135	386	2456
136	388	2447
137	390	2440
138	393	2435
139	396	2432
140	398	2429
141	400	2422
142	402	2414
143	405	2408
144	408	2405
145	410	2400
146	413	2397
147	415	2390
148	417	2386
149	419	2378
150	421	2371
151	424	2367
152	426	2361
153	430	2362
154	432	2356
155	434	2350
156	436	2344
157	439	2341
158	441	2336
159	444	2333
160	447	2329
161	449	2324
162	451	2319
163	453	2313
164	456	2308
165	458	2303
166	461	2302
167	463	2297
168	466	2292
169	468	2286
170	471	2283
171	473	2281
172	476	2276
173	479	2275
174	481	2271
175	484	2266
176	486	2260
177	488	2254
178	490	2249
179	492	2244
180	495	2242
181	498	2238
182	500	2235
183	502	2229
184	504	2223
185	506	2218
186	508	2212
187	511	2208
188	513	2204
189	516	2200
190	518	2195
191	520	2190
192	522	2184
193	524	2180
194	527	2178
195	529	2174
196	531	2168
197	534	2164
198	536	2158
199	538	2154
200	540	2149
201	543	2147
202	545	2142
203	548	2138
204	550	2133
205	552	2129
206	554	2125
207	557	2123
208	560	2121
209	562	2116
210	564	2111
211	565	2102
212	567	2097
213	569	2092
214	571	2086
215	574	2086
216	576	2081
217	579	2077
218	581	2073
219	583	2069
220	585	2064
221	587	2059
222	590	2056
223	593	2055
224	595	2052
225	597	2047
226	599	2043
227	602	2038
228	604	2034
229	608	2036
230	610	2032
231	612	2028
232	615	2025
233	617	2021
234	619	2018
235	623	2017
236	625	2014
237	628	2010
238	630	2006
239	632	2001
240	634	1999
241	637	1995
242	640	1995
243	642	1991
244	645	1987
245	647	1983
246	649	1980
247	651	1976
248	655	1977
